rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,subject,stimulus,task,correct,subtask,slider_start,accent,high_IC,accent_chosen,high_IC_chosen,question_order
3770,"{""prolific_id"":""6658b1c3dd60f6a0b5dcab6d""}",survey-html-form,0,3781,0.0-0.0,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,,,,,,,,,,
3928, ,html-keyboard-response,1,7717,0.0-1.0,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,"
    <p>Please complete the experiment in a quiet place.
      We highly recommend using headphones.</p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
1451, ,html-keyboard-response,2,9170,0.0-2.0,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,"
    <p>A series of soundchecks will now be played to help you adjust the volume
      to a comfortable level. </p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
9472,0,audio-button-response,3,18933,0.0-3.0-0.0,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,grammatical_1.mp3,,,,,,,,,
6288,1,audio-button-response,4,25228,0.0-3.1-0.1,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,grammatical_1.mp3,,,,,,,,,
4452, ,html-keyboard-response,5,29682,0.0-4.0,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,"<p width = 300 px>
    You will now hear two melodies in succession. 
    The notes in each melody are the same, but there is an accent on one note for one of the melodies. 
    <b>Listen for which melody has the accent.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
1845, ,html-keyboard-response,6,31529,0.0-5.0,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,"<p width = 300 px>
    <b>You must score at least 2/3 to proceed with the experiment.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
6051,1,audio-button-response,7,37770,0.0-6.0,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,fc_accents_32_1.mp3,soundcheck,true,,,,,,,
911, ,html-keyboard-response,8,38683,0.0-7.0,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,<p>Correct!</p> Press the space bar to continue.,,,,,,,,,
5760,1,audio-button-response,9,44617,0.0-8.0,17,tonic Bb4,2024-06-01 12:02:17,d6d641a8381b51745ea9a774607a039e,195.89.182.86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en-US;q=0.9,en;q=0.8",87o3mz,fc_accents_56_4.mp3,soundcheck,true,,,,,,,
