,rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,subject,stimulus,task,correct,subtask,slider_start,accent,high_IC,accent_chosen,high_IC_chosen,question_order
0,12317.0,"{""prolific_id"":""5a6f40c2d6eacc000176fada""}",survey-html-form,0,12319,0.0-0.0,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,,,,,,,,,,
1,7391.0, ,html-keyboard-response,1,19712,0.0-1.0,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,"
    <p>Please complete the experiment in a quiet place.
      We highly recommend using headphones.</p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
2,5345.0, ,html-keyboard-response,2,25058,0.0-2.0,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,"
    <p>A series of soundchecks will now be played to help you adjust the volume
      to a comfortable level. </p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
3,3741.0,0,audio-button-response,3,29723,0.0-3.0-0.0,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,grammatical_1.mp3,,,,,,,,,
4,3749.0,1,audio-button-response,4,33472,0.0-3.1-0.1,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,grammatical_1.mp3,,,,,,,,,
5,10642.0, ,html-keyboard-response,5,44114,0.0-4.0,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,"<p width = 300 px>
    You will now hear two melodies in succession. 
    The notes in each melody are the same, but there is an accent on one note for one of the melodies. 
    <b>Listen for which melody has the accent.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
6,5518.0, ,html-keyboard-response,6,49633,0.0-5.0,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,"<p width = 300 px>
    <b>You must score at least 2/3 to proceed with the experiment.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
7,10509.0,1,audio-button-response,7,60223,0.0-6.0,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,fc_accents_32_1.mp3,soundcheck,True,,,,,,,
8,1633.0, ,html-keyboard-response,8,61857,0.0-7.0,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,<p>Correct!</p> Press the space bar to continue.,,,,,,,,,
9,6331.0,1,audio-button-response,9,68264,0.0-8.0,5,tonic G5,2024-05-31 10:18:57,ab8c78d7af27e364ce40308a28d3270a,209.35.84.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",7e9x0n,fc_accents_56_4.mp3,soundcheck,True,,,,,,,
