rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,subject,stimulus,task,correct,subtask,slider_start,accent,high_IC,accent_chosen,high_IC_chosen,question_order
10935,"{""prolific_id"":""663fd4658572150cc2416c27""}",survey-html-form,0,10936,0.0-0.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,,,,,,,,,,
3354, ,html-keyboard-response,1,14292,0.0-1.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"
    <p>Please complete the experiment in a quiet place.
      We highly recommend using headphones.</p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
10767, ,html-keyboard-response,2,25060,0.0-2.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"
    <p>A series of soundchecks will now be played to help you adjust the volume
      to a comfortable level. </p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
3739,1,audio-button-response,3,29111,0.0-3.0-0.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,grammatical_1.mp3,,,,,,,,,
16236, ,html-keyboard-response,4,45348,0.0-4.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"<p width = 300 px>
    You will now hear two melodies in succession. 
    The notes in each melody are the same, but there is an accent on one note for one of the melodies. 
    <b>Listen for which melody has the accent.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
2159, ,html-keyboard-response,5,47508,0.0-5.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"<p width = 300 px>
    <b>You must score at least 2/3 to proceed with the experiment.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
13920,0,audio-button-response,6,61542,0.0-6.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,fc_accents_32_1.mp3,soundcheck,false,,,,,,,
1117, ,html-keyboard-response,7,62660,0.0-7.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,<p>Incorrect.</p> Press the space bar to continue.,,,,,,,,,
7029,1,audio-button-response,8,69809,0.0-8.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,fc_accents_56_4.mp3,soundcheck,true,,,,,,,
994, ,html-keyboard-response,9,70804,0.0-9.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,<p>Correct!</p> Press the space bar to continue.,,,,,,,,,
5899,1,audio-button-response,10,76832,0.0-10.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,fc_accents_54_4.mp3,soundcheck,true,,,,,,,
