,subject,condition,filename,sequence,IC,high_IC_chosen,target_pos,target_metric_2,target_metric_4,accent,musician
39,jkxofs,tonic Cs5,fc_IC_default_5_3.mp3,"[1, 3, 6, 5, 4, 3, 1]",,1,4,1,1,0,0
40,jkxofs,tonic Cs5,fc_IC_accent_3_3.mp3,"[1, 2, 3, 6, 3, 2, 3, 1]",,0,5,2,2,1,0
41,jkxofs,tonic Cs5,fc_IC_accent_3_4.mp3,"[1, 2, 6, 3, 2, 3, 1]",,0,4,1,1,1,0
42,jkxofs,tonic Cs5,fc_IC_default_5_4.mp3,"[1, 2, 6, 5, 4, 3, 1]",,1,4,1,1,0,0
43,jkxofs,tonic Cs5,fc_IC_accent_3_2.mp3,"[1, 2, 6, 3, 2, 3, 1]",,0,4,1,1,1,0
44,jkxofs,tonic Cs5,fc_IC_default_3_2.mp3,"[1, 2, 6, 3, 2, 3, 1]",,1,4,1,1,0,0
45,jkxofs,tonic Cs5,fc_IC_accent_5_2.mp3,"[1, 3, 6, 5, 4, 5, 3, 1]",,1,4,1,1,1,0
46,jkxofs,tonic Cs5,fc_IC_default_3_4.mp3,"[1, 2, 6, 3, 2, 3, 1]",,1,4,1,1,0,0
47,jkxofs,tonic Cs5,fc_IC_default_5_1.mp3,"[1, 2, 6, 5, 4, 3, 1]",,1,4,1,1,0,0
48,8ybm77,tonic Cs5,fc_IC_accent_3_3.mp3,"[1, 2, 3, 6, 3, 2, 3, 1]",,0,5,2,2,1,0
49,8ybm77,tonic Cs5,fc_IC_default_5_2.mp3,"[1, 2, 6, 5, 4, 5, 3, 1]",,0,4,1,1,0,0
50,8ybm77,tonic Cs5,fc_IC_default_5_1.mp3,"[1, 2, 6, 5, 4, 3, 1]",,0,4,1,1,0,0
51,8ybm77,tonic Cs5,fc_IC_default_3_1.mp3,"[1, 2, 6, 3, 2, 5, 3, 1]",,1,4,1,1,0,0
52,8ybm77,tonic Cs5,fc_IC_default_5_4.mp3,"[1, 2, 6, 5, 4, 3, 1]",,1,4,1,1,0,0
53,8ybm77,tonic Cs5,fc_IC_default_5_3.mp3,"[1, 3, 6, 5, 4, 3, 1]",,0,4,1,1,0,0
